book_id,book_name,author,rating,review_count,price,description,listening_time_raw,listening_minutes,genres,primary_genre,genre_count,weighted_rating,search_text,source,title_key,author_key
1834,The Spiritual Man,Watchman Nee,4.8,507.0,1003.0,,,,,,0,4.615951623628468,The Spiritual Man Watchman Nee,catalog only,the spiritual man,watchman nee
1835,30 Days to Taming Your Tongue: What You Say (And Don't Say) Will Improve Your Relationships,Deborah Smith Peques,4.7,507.0,305.0,,,,,,0,4.569607930758266,30 Days to Taming Your Tongue: What You Say (And Don't Say) Will Improve Your Relationships Deborah Smith Peques,catalog only,30 days to taming your tongue what you say and don t say will improve your relationships,deborah smith peques
1836,You Are Here: Discovering the Magic of the Present Moment,Thich Nhat Hanh,4.7,506.0,502.0,,,,,,0,4.569488633348165,You Are Here: Discovering the Magic of the Present Moment Thich Nhat Hanh,catalog only,you are here discovering the magic of the present moment,thich nhat hanh
1837,Life in the Fasting Lane: How to Make Intermittent Fasting a Lifestyle - and Reap the Benefits of Weight Loss and Better Health,Dr. Jason Fung,4.6,506.0,727.0,"Fasting is emerging as one of the most exciting medical advancements in recent memory. Its list of benefits extends far beyond weight loss and includes improved cardiovascular health, lower blood pressure, protection against cancer, and better cognitive function.",7 hours and 35 minutes,455.0,Weight Loss Diets | Healthy Living & Wellness,Weight Loss Diets,2,4.523194031335356,"Life in the Fasting Lane: How to Make Intermittent Fasting a Lifestyle - and Reap the Benefits of Weight Loss and Better Health Dr. Jason Fung Weight Loss Diets Healthy Living & Wellness Fasting is emerging as one of the most exciting medical advancements in recent memory. Its list of benefits extends far beyond weight loss and includes improved cardiovascular health, lower blood pressure, protection against cancer, and better cognitive function.",both datasets,life in the fasting lane how to make intermittent fasting a lifestyle and reap the benefits of weight loss and better health,dr jason fung
1838,Winning,Jack Welch,4.6,505.0,13345.0,"Welch's optimistic, no excuses, get-it-done mind-set is riveting. Packed with personal anecdotes and written in Jack's distinctive no-b.s. voice, Winning is a great read and a great business book. It offers deep insights, original thinking, and nuts-and-bolts advice that are bound to change the way people think about work.",11 hours and 23 minutes,683.0,Business Motivation & Self-Improvement | Business Careers | Leadership,Business Motivation & Self-Improvement,3,4.523123696199216,"Winning Jack Welch Business Motivation & Self-Improvement Business Careers Leadership Welch's optimistic, no excuses, get-it-done mind-set is riveting. Packed with personal anecdotes and written in Jack's distinctive no-b.s. voice, Winning is a great read and a great business book. It offers deep insights, original thinking, and nuts-and-bolts advice that are bound to change the way people think about work.",both datasets,winning,jack welch
1839,"The Epigenetics Revolution: How Modern Biology Is Rewriting Our Understanding of Genetics, Disease and Inheritance",Nessa Carey,4.5,505.0,645.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,,,,0,4.476878274953794,"The Epigenetics Revolution: How Modern Biology Is Rewriting Our Understanding of Genetics, Disease and Inheritance Nessa Carey Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",both datasets,the epigenetics revolution how modern biology is rewriting our understanding of genetics disease and inheritance,nessa carey
1840,Common Stocks and Uncommon Profits and Other Writings: 2nd Edition,Philip A. Fisher,4.2,505.0,703.0,"Widely respected and admired, Philip Fisher is among the most influential investors of all time. His investment philosophies, introduced almost 40 years ago, are not only studied and applied by today's financiers and investors, but are also regarded by many as gospel. This book is invaluable for investors and has been since it was first published in 1958. This updated edition retains the investment wisdom of the original edition and includes the perspectives of the author's son Ken Fisher, an investment guru in his own right, in an expanded preface and introduction.",13 hours and 10 minutes,790.0,Investing & Trading | Analysis & Strategy | Textbooks & Study Guides,Investing & Trading,3,4.338142011217531,"Common Stocks and Uncommon Profits and Other Writings: 2nd Edition Philip A. Fisher Investing & Trading Analysis & Strategy Textbooks & Study Guides Widely respected and admired, Philip Fisher is among the most influential investors of all time. His investment philosophies, introduced almost 40 years ago, are not only studied and applied by today's financiers and investors, but are also regarded by many as gospel. This book is invaluable for investors and has been since it was first published in 1958. This updated edition retains the investment wisdom of the original edition and includes the perspectives of the author's son Ken Fisher, an investment guru in his own right, in an expanded preface and introduction.",both datasets,common stocks and uncommon profits and other writings 2nd edition,philip a fisher
1841,Treasure Hunters,James Patterson,4.6,504.0,615.0,"Treasure hunting is no laughing matter... unless you're treasure hunting with these kids. Bick Kidd's parents were world-famous treasure hunters – until they mysteriously disappeared. Now he and the rest of the Kidds – Beck, Tommy, and Storm – have to finish their mom and dad's last major mission... before it finishes them.",5 hours and 55 minutes,355.0,"Suspense | Literature & Fiction (Audible Audiobooks & Originals) | Literary Theory, History & Criticism",Suspense,3,4.523053232126071,"Treasure Hunters James Patterson Suspense Literature & Fiction (Audible Audiobooks & Originals) Literary Theory, History & Criticism Treasure hunting is no laughing matter... unless you're treasure hunting with these kids. Bick Kidd's parents were world-famous treasure hunters – until they mysteriously disappeared. Now he and the rest of the Kidds – Beck, Tommy, and Storm – have to finish their mom and dad's last major mission... before it finishes them.",both datasets,treasure hunters,james patterson
1842,"Stealing Fire: How Silicon Valley, the Navy SEALs, and Maverick Scientists Are Revolutionizing the Way We Live and Work",Steven Kotler,4.4,503.0,11862.0,"The authors of the best-selling Bold and The Rise of Superman explore altered states of consciousness and how they can ignite passion, fuel creativity, and accelerate problem solving, in this groundbreaking book in the vein of Daniel Pink's Drive and Charles Duhigg's Smarter Faster Better.",8 hours and 24 minutes,504.0,Pharmacology (Audible Audiobooks & Originals) | Creativity & Genius | Technology & Society,Pharmacology (Audible Audiobooks & Originals),3,4.4306890607793985,"Stealing Fire: How Silicon Valley, the Navy SEALs, and Maverick Scientists Are Revolutionizing the Way We Live and Work Steven Kotler Pharmacology (Audible Audiobooks & Originals) Creativity & Genius Technology & Society The authors of the best-selling Bold and The Rise of Superman explore altered states of consciousness and how they can ignite passion, fuel creativity, and accelerate problem solving, in this groundbreaking book in the vein of Daniel Pink's Drive and Charles Duhigg's Smarter Faster Better.",both datasets,stealing fire how silicon valley the navy seals and maverick scientists are revolutionizing the way we live and work,steven kotler
1843,The Beautiful and Damned (AmazonClassics Edition),F. Scott Fitzgerald,4.3,503.0,1003.0,,,,,,0,4.384542271788572,The Beautiful and Damned (AmazonClassics Edition) F. Scott Fitzgerald,catalog only,the beautiful and damned amazonclassics edition,f scott fitzgerald
1844,Nightshade,Anthony Horowitz,4.8,502.0,645.0,"Following the shocking events of Never Say Die, Alex Rider's world has changed: his biggest enemy, the evil organization Scorpia, has been destroyed. Alex is hoping his life can finally go back to normal, that he can go to school and spend time with his friends - but very quickly everything changes. A new and dangerous criminal organisation - Nightshade - is rising.",10 hours and 7 minutes,607.0,Thriller & Suspense Stories for Children | Action & Adventure Mysteries for Children | Mysteries for Children,Thriller & Suspense Stories for Children,3,4.615106589760829,"Nightshade Anthony Horowitz Thriller & Suspense Stories for Children Action & Adventure Mysteries for Children Mysteries for Children Following the shocking events of Never Say Die, Alex Rider's world has changed: his biggest enemy, the evil organization Scorpia, has been destroyed. Alex is hoping his life can finally go back to normal, that he can go to school and spend time with his friends - but very quickly everything changes. A new and dangerous criminal organisation - Nightshade - is rising.",both datasets,nightshade,anthony horowitz
1845,"Son of the Black Sword: Saga of the Forgotten Warrior, Book 1",Larry Correia,4.7,502.0,1003.0,,,,,,0,4.569009252754402,"Son of the Black Sword: Saga of the Forgotten Warrior, Book 1 Larry Correia",catalog only,son of the black sword saga of the forgotten warrior book 1,larry correia
1846,Mini Habits for Weight Loss: Stop Dieting. Form New Habits. Change Your Lifestyle Without Suffering.,Stephen Guise,4.5,501.0,836.0,You will never diet again.,10 hours and 15 minutes,615.0,"Self-Esteem | Diets, Nutrition & Healthy Eating | Healthy Living & Wellness",Self-Esteem,3,4.476793268611713,"Mini Habits for Weight Loss: Stop Dieting. Form New Habits. Change Your Lifestyle Without Suffering. Stephen Guise Self-Esteem Diets, Nutrition & Healthy Eating Healthy Living & Wellness You will never diet again.",both datasets,mini habits for weight loss stop dieting form new habits change your lifestyle without suffering,stephen guise
1847,"Zak George's Guide to a Well-Behaved Dog: Proven Solutions to the Most Common Training Problems for All Ages, Breeds, and Mixes",Zak George,4.7,499.0,879.0,"A compassionate, modern, science-based approach to help you (and your dog!) with common training problems",6 hours and 46 minutes,406.0,Dogs & Dog Care | Pets & Animal Care,Dogs & Dog Care,2,4.568647399861458,"Zak George's Guide to a Well-Behaved Dog: Proven Solutions to the Most Common Training Problems for All Ages, Breeds, and Mixes Zak George Dogs & Dog Care Pets & Animal Care A compassionate, modern, science-based approach to help you (and your dog!) with common training problems",both datasets,zak george s guide to a well behaved dog proven solutions to the most common training problems for all ages breeds and mixes,zak george
1848,The Room on the Roof,Ruskin Bond,4.6,499.0,452.0,A classic coming-of-age story which has held generations of fans spellbound,3 hours and 48 minutes,228.0,Coming of Age Fiction | Fiction Classics for Children | Classic Literature,Coming of Age Fiction,3,4.522698965238991,The Room on the Roof Ruskin Bond Coming of Age Fiction Fiction Classics for Children Classic Literature A classic coming-of-age story which has held generations of fans spellbound,advanced only,the room on the roof,ruskin bond
1849,Ca$hvertising: How to Use More Than 100 Secrets of Ad-Agency Psychology to Make Big Money Selling Anything to Anyone,Drew Eric Whitman,4.8,498.0,468.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",-1,,,,0,4.614424955068705,"Ca$hvertising: How to Use More Than 100 Secrets of Ad-Agency Psychology to Make Big Money Selling Anything to Anyone Drew Eric Whitman Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",both datasets,ca hvertising how to use more than 100 secrets of ad agency psychology to make big money selling anything to anyone,drew eric whitman
1850,What If This Is Heaven?: How Our Cultural Myths Prevent Us from Experiencing Heaven on Earth,Anita Moorjani,4.7,498.0,586.0,,,,,,0,4.568526337557184,What If This Is Heaven?: How Our Cultural Myths Prevent Us from Experiencing Heaven on Earth Anita Moorjani,catalog only,what if this is heaven how our cultural myths prevent us from experiencing heaven on earth,anita moorjani
1851,Advanced Techniques in Day Trading: A Practical Guide to High Probability Strategies and Methods,Andrew Aziz,4.5,498.0,668.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,,,,0,4.476729102534142,"Advanced Techniques in Day Trading: A Practical Guide to High Probability Strategies and Methods Andrew Aziz Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",both datasets,advanced techniques in day trading a practical guide to high probability strategies and methods,andrew aziz
1852,In the Buddha's Words: An Anthology of Discourses from the Pali Canon,Bhikkhu Bodhi - editor and translator,4.7,497.0,1003.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",-1,,,,0,4.568405051890723,"In the Buddha's Words: An Anthology of Discourses from the Pali Canon Bhikkhu Bodhi - editor and translator Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",both datasets,in the buddha s words an anthology of discourses from the pali canon,bhikkhu bodhi editor and translator
1853,The Third Door: The Wild Quest to Uncover How the World's Most Successful People Launched Their Careers,Alex Banayan,4.7,497.0,1005.0,Forbes #1 Career Book to Read in 2018,8 hours and 42 minutes,522.0,Mentoring & Coaching | Personal Success in Business | Biographies & Memoirs (Audible Audiobooks & Originals),Mentoring & Coaching,3,4.568405051890723,The Third Door: The Wild Quest to Uncover How the World's Most Successful People Launched Their Careers Alex Banayan Mentoring & Coaching Personal Success in Business Biographies & Memoirs (Audible Audiobooks & Originals) Forbes #1 Career Book to Read in 2018,advanced only,the third door the wild quest to uncover how the world s most successful people launched their careers,alex banayan
1854,Brainstorm: The Power and Purpose of the Teenage Brain,Daniel J. Siegel,4.6,497.0,690.0,"Between the ages of 12 and 24, the brain changes in important and often maddening ways. It’s no wonder that many parents approach their child’s adolescence with fear and trepidation. According to renowned neuropsychiatrist Daniel Siegel, however, if parents and teens can work together to form a deeper understanding of the brain science behind all the tumult, they will be able to turn conflict into connection and form a deeper understanding of one another.",10 hours and 48 minutes,648.0,Adolescent Psychology | Parenting Teenagers | Relationships,Adolescent Psychology,3,4.522556343403638,"Brainstorm: The Power and Purpose of the Teenage Brain Daniel J. Siegel Adolescent Psychology Parenting Teenagers Relationships Between the ages of 12 and 24, the brain changes in important and often maddening ways. It’s no wonder that many parents approach their child’s adolescence with fear and trepidation. According to renowned neuropsychiatrist Daniel Siegel, however, if parents and teens can work together to form a deeper understanding of the brain science behind all the tumult, they will be able to turn conflict into connection and form a deeper understanding of one another.",both datasets,brainstorm the power and purpose of the teenage brain,daniel j siegel
1855,If You Were Mine,Melanie Harlow,4.4,497.0,668.0,,,,,,0,4.430858926429469,If You Were Mine Melanie Harlow,catalog only,if you were mine,melanie harlow
1856,KIZUMONOGATARI: Wound Tale,NISIOISIN,4.9,496.0,1004.0,"Around midnight, under a lonely streetlamp in a provincial town in Japan, lies a white woman, a blonde, alone, robbed of all four limbs yet undead. Indeed, a rumor's been circulating among the local girls that a vampire has come to their backwater, of all places.",9 hours and 32 minutes,572.0,Light Novels (Ranobe) for Teens | Occult Horror Fiction | Magical Realism Fiction,Light Novels (Ranobe) for Teens,3,4.659880956832451,"KIZUMONOGATARI: Wound Tale NISIOISIN Light Novels (Ranobe) for Teens Occult Horror Fiction Magical Realism Fiction Around midnight, under a lonely streetlamp in a provincial town in Japan, lies a white woman, a blonde, alone, robbed of all four limbs yet undead. Indeed, a rumor's been circulating among the local girls that a vampire has come to their backwater, of all places.",both datasets,kizumonogatari wound tale,nisioisin
1857,Three Tales of My Father's Dragon: My Father's Dragon; Elmer and the Dragon; The Dragons of Blueland,Ruth Stiles Gannett,4.8,496.0,1005.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",-1,,,,0,4.614082249537899,"Three Tales of My Father's Dragon: My Father's Dragon; Elmer and the Dragon; The Dragons of Blueland Ruth Stiles Gannett Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",advanced only,three tales of my father s dragon my father s dragon elmer and the dragon the dragons of blueland,ruth stiles gannett
1858,"The Complete Software Developer's Career Guide: How to Learn Programming Languages Quickly, Ace Your Programming Interview, and Land Your Software Developer Dream Job",John Sonmez,4.7,496.0,1003.0,Technical knowledge alone isn't enough - increase your software development income by leveling up your soft skills,-1,,,,0,4.568283542243346,"The Complete Software Developer's Career Guide: How to Learn Programming Languages Quickly, Ace Your Programming Interview, and Land Your Software Developer Dream Job John Sonmez Technical knowledge alone isn't enough - increase your software development income by leveling up your soft skills",advanced only,the complete software developer s career guide how to learn programming languages quickly ace your programming interview and land your software developer dream job,john sonmez
1859,Magnus Chase and the Hammer of Thor,Rick Riordan,4.6,496.0,888.0,,,,,,0,4.522484834948794,Magnus Chase and the Hammer of Thor Rick Riordan,catalog only,magnus chase and the hammer of thor,rick riordan
1860,Rocket Men: The Daring Odyssey of Apollo 8 and the Astronauts Who Made Man's First Journey to the Moon,Robert Kurson,4.8,495.0,1131.0,,,,,,0,4.613910421672406,Rocket Men: The Daring Odyssey of Apollo 8 and the Astronauts Who Made Man's First Journey to the Moon Robert Kurson,catalog only,rocket men the daring odyssey of apollo 8 and the astronauts who made man s first journey to the moon,robert kurson
1861,"Churchill: A Life, Part 2 (1918-1965)",Martin Gilbert,4.6,495.0,748.0,,,,,,0,4.522413194315659,"Churchill: A Life, Part 2 (1918-1965) Martin Gilbert",catalog only,churchill a life part 2 1918 1965,martin gilbert
1862,"The Masked City: The Invisible Library, Book 2",Genevieve Cogman,4.6,495.0,836.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,,,,0,4.522413194315659,"The Masked City: The Invisible Library, Book 2 Genevieve Cogman Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",both datasets,the masked city the invisible library book 2,genevieve cogman
1863,Driven by Eternity: Make Your Life Count Today & Forever,John Bevere,4.7,494.0,539.0,"Anyone can see it: We're captivated by the idea of eternity. No generation or culture can resist its draw. And some part of you already knows this, doesn't it? It's the reason you're thinking about buying this book.",9 hours and 42 minutes,582.0,Christianity (Audible Audiobooks & Originals) | Christianity,Christianity (Audible Audiobooks & Originals),2,4.568039848519467,"Driven by Eternity: Make Your Life Count Today & Forever John Bevere Christianity (Audible Audiobooks & Originals) Christianity Anyone can see it: We're captivated by the idea of eternity. No generation or culture can resist its draw. And some part of you already knows this, doesn't it? It's the reason you're thinking about buying this book.",both datasets,driven by eternity make your life count today and forever,john bevere
1864,George's Secret Key to the Universe,Lucy Hawking,4.6,494.0,615.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",-1,,,,0,4.522341421137413,"George's Secret Key to the Universe Lucy Hawking Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",advanced only,george s secret key to the universe,lucy hawking
1865,Splitting: Protecting Yourself While Divorcing Someone with Borderline or Narcissistic Personality Disorder,Bill Eddy,4.6,494.0,820.0,,,,,,0,4.522341421137413,Splitting: Protecting Yourself While Divorcing Someone with Borderline or Narcissistic Personality Disorder Bill Eddy,catalog only,splitting protecting yourself while divorcing someone with borderline or narcissistic personality disorder,bill eddy
1866,Stress Test: Reflections on Financial Crises,Timothy F. Geithner,4.4,493.0,1256.0,,,,,,0,4.430973218749578,Stress Test: Reflections on Financial Crises Timothy F. Geithner,catalog only,stress test reflections on financial crises,timothy f geithner
1867,"All Yours, Stranger: Stranger Trilogy, Book 2",Novoneel Chakraborty,4.4,491.0,754.0,,,,,,0,4.431030682977314,"All Yours, Stranger: Stranger Trilogy, Book 2 Novoneel Chakraborty",catalog only,all yours stranger stranger trilogy book 2,novoneel chakraborty
1868,"Rising Tides: The Chesapeake Bay Saga, Book 2",Nora Roberts,4.7,490.0,609.0,,,,,,0,4.567549745821303,"Rising Tides: The Chesapeake Bay Saga, Book 2 Nora Roberts",catalog only,rising tides the chesapeake bay saga book 2,nora roberts
1869,"The Marketing of Evil: How Radicals, Elitists and Pseudo-Experts Sell Us Corruption Disguised as Freedom",David Kupelian,4.7,490.0,586.0,"Americans have come to tolerate, embrace, and even champion many things that would have horrified their parents' generation - from easy divorce and unrestricted abortion on demand to extreme body piercing and teaching homosexuality to grade schoolers. Does that mean today's Americans are inherently more morally confused and depraved than previous generations? Of course not, says veteran journalist David Kupelian. But they have fallen victim to some of the most stunningly brilliant and compelling marketing campaigns in modern history.",-1,,,,0,4.567549745821303,"The Marketing of Evil: How Radicals, Elitists and Pseudo-Experts Sell Us Corruption Disguised as Freedom David Kupelian Americans have come to tolerate, embrace, and even champion many things that would have horrified their parents' generation - from easy divorce and unrestricted abortion on demand to extreme body piercing and teaching homosexuality to grade schoolers. Does that mean today's Americans are inherently more morally confused and depraved than previous generations? Of course not, says veteran journalist David Kupelian. But they have fallen victim to some of the most stunningly brilliant and compelling marketing campaigns in modern history.",advanced only,the marketing of evil how radicals elitists and pseudo experts sell us corruption disguised as freedom,david kupelian
1870,Boys Adrift: The Five Factors Driving the Growing Epidemic of Unmotivated Boys and Underachieving Young Men,Leonard Sax,4.6,490.0,500.0,,,,,,0,4.522052995589176,Boys Adrift: The Five Factors Driving the Growing Epidemic of Unmotivated Boys and Underachieving Young Men Leonard Sax,catalog only,boys adrift the five factors driving the growing epidemic of unmotivated boys and underachieving young men,leonard sax
1871,The Tools: 5 Life Techniques to Unlock Your Potential,Phil Stutz,4.4,490.0,683.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,,,,0,4.4310594951249245,"The Tools: 5 Life Techniques to Unlock Your Potential Phil Stutz Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",advanced only,the tools 5 life techniques to unlock your potential,phil stutz
1872,To-Do List Formula: A Stress-Free Guide to Creating To-Do Lists That Work!,Damon Zahariades,4.4,489.0,233.0,Finally! Discover how to create to-do lists that work!,2 hours and 35 minutes,155.0,Stress Management | Time Management & Productivity | Analysis & Strategy,Stress Management,3,4.431088360826713,To-Do List Formula: A Stress-Free Guide to Creating To-Do Lists That Work! Damon Zahariades Stress Management Time Management & Productivity Analysis & Strategy Finally! Discover how to create to-do lists that work!,both datasets,to do list formula a stress free guide to creating to do lists that work,damon zahariades
1873,Something I Never Told You,Shravya Bhinder,4.3,489.0,879.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",-1,,,,0,4.385642264172438,"Something I Never Told You Shravya Bhinder Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",both datasets,something i never told you,shravya bhinder
1874,The Honeymoon Effect: The Science of Creating Heaven on Earth,Bruce H. Lipton,4.6,488.0,492.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,,,,0,4.521907977906553,"The Honeymoon Effect: The Science of Creating Heaven on Earth Bruce H. Lipton Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",both datasets,the honeymoon effect the science of creating heaven on earth,bruce h lipton
1875,Walk the Wire,David Baldacci,4.6,488.0,323.0,"The number one best-selling author returns with a highly charged thriller taking Amos Decker, who has proved one of his readers’ favourite characters to date, on an action-packed investigation with all the trademark twists and turns which make David Baldacci one of the world’s favourite storytellers.",11 hours and 55 minutes,715.0,International Mystery & Crime | Crime Thrillers | Suspense,International Mystery & Crime,3,4.521907977906553,"Walk the Wire David Baldacci International Mystery & Crime Crime Thrillers Suspense The number one best-selling author returns with a highly charged thriller taking Amos Decker, who has proved one of his readers’ favourite characters to date, on an action-packed investigation with all the trademark twists and turns which make David Baldacci one of the world’s favourite storytellers.",both datasets,walk the wire,david baldacci
1876,My Jumbo Book of Aesop's Fables,Dreamland Publications,4.5,488.0,233.0,My Jumbo Book of Aesop's Fables include well-known moral stories. The timeless stories make the book unique and an absolute favourite of each child.,-1,,,,0,4.476512629069344,My Jumbo Book of Aesop's Fables Dreamland Publications My Jumbo Book of Aesop's Fables include well-known moral stories. The timeless stories make the book unique and an absolute favourite of each child.,both datasets,my jumbo book of aesop s fables,dreamland publications
1877,Nice Girls Don't Get the Corner Office: Unconscious Mistakes Women Make That Sabotage Their Careers (A Nice Girls Book),Lois P. Frankel,4.5,488.0,500.0,"The New York Times bestseller, which for 10 years has been a must-have for women in business, is now completely revised and updated. In this new edition, internationally recognized executive coach Lois P. Frankel reveals a distinctive set of behaviors-over 130 in all-that women learn in girlhood that ultimately sabotage them as adults. She teaches you how to eliminate these unconscious mistakes that could be holding you back and offers invaluable coaching tips that can easily be incorporated into your social and business skills. The results for hundreds of thousands of women have been career opportunities they never thought possible - at every stage of their career, from entry-level to the corner office! Stop making ""nice girl"" errors that can become career pitfalls, such as:",8 hours and 51 minutes,531.0,Women in Business | Personal Success | Analysis & Strategy,Women in Business,3,4.476512629069344,"Nice Girls Don't Get the Corner Office: Unconscious Mistakes Women Make That Sabotage Their Careers (A Nice Girls Book) Lois P. Frankel Women in Business Personal Success Analysis & Strategy The New York Times bestseller, which for 10 years has been a must-have for women in business, is now completely revised and updated. In this new edition, internationally recognized executive coach Lois P. Frankel reveals a distinctive set of behaviors-over 130 in all-that women learn in girlhood that ultimately sabotage them as adults. She teaches you how to eliminate these unconscious mistakes that could be holding you back and offers invaluable coaching tips that can easily be incorporated into your social and business skills. The results for hundreds of thousands of women have been career opportunities they never thought possible - at every stage of their career, from entry-level to the corner office! Stop making ""nice girl"" errors that can become career pitfalls, such as:",both datasets,nice girls don t get the corner office unconscious mistakes women make that sabotage their careers a nice girls book,lois p frankel
1878,The Dinosaur That Pooped The Bed,Dougie Poynter,4.9,487.0,205.0,"Random House presents the audiobook edition of The Dinosaur That Pooped The Bed, written and read by Dougie Poynter and Tom Fletcher.",4 minutes,4.0,"Children's History | Children's Picture Books | Children's Science, Nature & Technology",Children's History,3,4.65786878607965,"The Dinosaur That Pooped The Bed Dougie Poynter Children's History Children's Picture Books Children's Science, Nature & Technology Random House presents the audiobook edition of The Dinosaur That Pooped The Bed, written and read by Dougie Poynter and Tom Fletcher.",both datasets,the dinosaur that pooped the bed,dougie poynter
1879,"The Story of the Human Body: Evolution, Health, and Disease",Daniel Lieberman,4.6,487.0,1131.0,,,,,,0,4.521835266526577,"The Story of the Human Body: Evolution, Health, and Disease Daniel Lieberman",catalog only,the story of the human body evolution health and disease,daniel lieberman
1880,"Weird Scenes Inside the Canyon: Laurel Canyon, Covert Ops, and the Dark Heart of the Hippie Dream",David McGowan,4.3,487.0,836.0,,,,,,0,4.385801746973504,"Weird Scenes Inside the Canyon: Laurel Canyon, Covert Ops, and the Dark Heart of the Hippie Dream David McGowan",catalog only,weird scenes inside the canyon laurel canyon covert ops and the dark heart of the hippie dream,david mcgowan
1881,Be My Perfect Ending,Arpit Vageria,4.2,487.0,668.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",-1,,,,0,4.340457240455814,"Be My Perfect Ending Arpit Vageria Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",both datasets,be my perfect ending,arpit vageria
1882,Financial Intelligence: A Manager's Guide to Knowing What the Numbers Really Mean,Karen Berman,4.7,486.0,938.0,,,,,,0,4.567055989048969,Financial Intelligence: A Manager's Guide to Knowing What the Numbers Really Mean Karen Berman,catalog only,financial intelligence a manager s guide to knowing what the numbers really mean,karen berman
1883,The Dark Side of the Light Chasers,Debbie Ford,4.7,486.0,585.0,"Debbie Ford explains that the dark side of our personality should not be hidden. By denying our dark side, we reject these aspects of our true natures rather than giving ourselves the freedom to live authentically. Here she shows that it is possible to acknowledge and accept our so-called weaknesses, proving that these qualities may be important, hidden strengths. For example, perhaps some ""selfishness"" can save us from exhaustion and resentment.",8 hours and 6 minutes,486.0,Freudian Theory | Spirituality (Audible Audiobooks & Originals) | Personal Success,Freudian Theory,3,4.567055989048969,"The Dark Side of the Light Chasers Debbie Ford Freudian Theory Spirituality (Audible Audiobooks & Originals) Personal Success Debbie Ford explains that the dark side of our personality should not be hidden. By denying our dark side, we reject these aspects of our true natures rather than giving ourselves the freedom to live authentically. Here she shows that it is possible to acknowledge and accept our so-called weaknesses, proving that these qualities may be important, hidden strengths. For example, perhaps some ""selfishness"" can save us from exhaustion and resentment.",advanced only,the dark side of the light chasers,debbie ford
1884,Depression Is a Liar,Danny L Baker,4.3,486.0,569.0,,,,,,0,4.385881711322966,Depression Is a Liar Danny L Baker,catalog only,depression is a liar,danny l baker
1885,Clifford's Good Deeds,Norman Bridwell,4.8,485.0,65.0,,,,,,0,4.612174511426813,Clifford's Good Deeds Norman Bridwell,catalog only,clifford s good deeds,norman bridwell
1886,Music Theory: from Absolute Beginner to Expert: The Ultimate Step-by-Step Guide to Understanding and Learning Music Theory Effortlessly,Nicolas Carter,4.4,485.0,233.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,,,,0,4.431204362173082,"Music Theory: from Absolute Beginner to Expert: The Ultimate Step-by-Step Guide to Understanding and Learning Music Theory Effortlessly Nicolas Carter Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",both datasets,music theory from absolute beginner to expert the ultimate step by step guide to understanding and learning music theory effortlessly,nicolas carter
